text,labels
🌚 👊 عيب والله عيب اثقلوا ماقد شفتوا مزاين بحياتكم مو هو مزيون بس ي كثر عيالنا مزز وعادي فشلتونا اول مره تشوفون حلو,0
3- يعني المفروض الواحدة علشان تروح تقضي مصلحة في وسط البلد .المفروض تركب جناحات علشان تطير 😡,0
ااخخيرا تحقق حلمي يوم واحد بدون انقلش صرت مبسوطه مرا ما كنت متخيله انو كان الانقلش هوا الي منكد عليا قد كذا 🔪 😂 😂,0
كنت بقول دايما المقدمه 🐸 وكان ليا السبق ولله الحمد اكون اول طالبه في الجمهوريه تقع ف نص المدرسه (زيربو) 😎 😂,0
بايع الكليجاياجماعة امسكوا الجولات من بنات المتوسط 😠,0
مالومك على افكارك و لغتك. متعودين على 👞 اللي حطوكم سلحان و ابنه تحتها. الحمد لله الذي عافانا,1
مؤلم. وان كنت اجهل السبب فلا يليق. حتى الضرب المشروع اتى بعد عدة مراحل وهو ضرب معنوي لا تعنيف فيه وبشروطه.جهل مطبق 👎,0
اعمل اي حاجه غير انك تبقي بوشين عشان هستحقرك جدا 👎,1
وش قلت بعد 😠 💔!,0
اسمع يا صغير الرياض يا امعة يا حقير فاكر يوم ندعسكم دعس بالخمسة والسته والاربع والا ناسى يا طلي هذا العميد نادي الاتحاد انصحك نصيحه لاتقرب من جمهور الاتحاد تراهم ياكلونك اكل فاهم يا رمه والا لا,1
"يا قذل ايش بك تنطز على المملوح, يعني عندما ادى كلمة حق يا دانق يا ود الدانقه, ايوه اصبح انعقاد جلسة للمجلس ضرب من الخيال بعد ان كان المجلس معزز مكرم في صنعاء يشرع قوانين ويتابع ويراقب سير العمل في السلطة التنفيذية من بعد ثورتكم ا",1
ليس رجل المرحله هذا الرجل 👆 😷,0
كوكو ♥ ️ سوال لعشاق السنما التركيه .وين ع النت بتشوفون المسلسل التركي ارطغرللو ما كتبت الاسم صح لا ياخذني عشاق التاريخ 🙉 جاوبوا بسرعه رجاء 🙏,0
وفرحنات عشان جابوا اخبارهم ومصدقين نفسهم استخبرات 😷 بلاخير الي جابت المعلومات من قرايبه,1
من جدهم يسلمونها لو انا القى شي والله مايذووقونه 😤,0
وانت مال اهلك يا سمج يا للى بتتخن على السب وقلة والادب ما تخليك فى حالك دا لما الواحد يحب يشتمك يقولك يا مشجع نادى البوابين المختلط قلالات الادب ياللى كبيركم مرتضى وده كفاية عليك,1
يعع عاد حريم المغرب ينادن الرجال يقشن الصاحي والمجنون اهم شي يدفع فلوس يع يع انواع القرف والوصاخه 😷 😷,1
القم يا وضيع القم يا ابو 6 ريال ماني اجلد الكلاب,1
كسمكم يامخانيث 🖕,1
"من سخرية القدر يا اخوة يا اعزاء ان كلاب امريكا الفجار بالخليج دخلوا في عدوان وحرب ابادة على اطفال اليمن بحجة ايران واحرقوا وقتلوا وفجروا بالبشر والحجر, وقبل ايام ساعدوا نفاقا ضحايا الفيضانات بايران لكي يوصلوا رسالة للعالم انهم لا يفجرون بالخصومة.",1
يا لطيف الله يهدي ما خلق وسايي مطفرة غي فل صغار كانت نهار الاول تخمم قبل ما ديرها 😒 ولا على اقل يا دير اجهاض يا تحطه في الميتم وتروح مشي تقيسه في بوبال 😑 علابالك والله ما قديت نشوف ما شفتش فيديو اللقطة 1 وحبست 😔 😣,0
اي بواب ابن بواب هسمع حسو هديلو بوسخ شبشب موجود في الزريبة بتعتكو يا مركز تاني يا حصالة. ياللي عشتو طول عمركو تقوالو الزبالك قادم. يا هايجة يا بتاعت الخلايجة .مش نواية تتوبي يا زيزي. اتوب ازي اصل الشمال مغري. زعيم تويتر فولورز اهلاويالاهليلوكا وعراقي ودعم الفولورز,1
فشلونا حسبي الله عليهم اشكالهم يع 😭 🤢,1
اوكي كنسل نوم 😣 💔,0
البنزين.نعيد ونكرر يا ذباب يا الكترونيالامن والامان ليست سلعة تساومون المواطن فيها.اذا فيه قرار مو عاجبني ترا عادي.,1
بايع الكليجا هذا الموضوع ب اختصار 💩,1
اهو دا اللي فالحه فيه طول اليوم نوم 😂 😠,0
انقلع يا سالب يا متخاذل العرق واحد,1
منهم قليلين الادب 🔪,1
اي والله عطوها اكبر من حجمها 👎 👎,0
البت انتحرت 😂 👊,0
صرح خبرا اقتصادين ان هناك تزايد في نسبه الاقبال على الشمه بسبب ارتفاع اسعار السجائر ما سيؤدي الى انتشار الوعاثه بشكل اكبر في اوساط المجتمع 🐸 🚬,0
تهبا كريم من حلال غيرك 😂 😂 👊 🏃,0
"🍃 🙉 -القلۆب الطيبهہ مظلومهہ دائما., 🍂 - لانها اسرع مٓن يفتح الابواب., 🍂 -واول من يتلقى الضربات. 🍂 برب...",0
"مما ادرك الناس من كلام النبوة الاولى اذا لم تستح فاصنع ما شئت "". 👎. بايع الكليجا",1
رسالة السيسي بالزي العسكريالمهمة حماية وطن تحيا مصر نصنع سلاحنا بايدينا 👊,0
ربنا معاكي 👊,0
استاذ مختار ياليت تنزل طريقه لتعليم الطفل نطق السكون والشده والتنوين 😣,0
