text,labels
افطرت عليك بعقاء واثنين من فروخها الجن 🔪 😂,0
داليا مباركمادري ليش تقرفت 😷,0
"ابديت السناب الجديد ❌ حاس الناس حوس, اشوف مشاهير. تضيفني, مشاهير تتابع يومياتي, ابديت كرهني بالسناب كله 😤",0
هييه والله وايدد 🔪 💔 💔,0
اكيد اخس شي 😤,0
مابي شي الحين غير فراشي 😣,0
اقسم بالله عيب اللي يصير 😷,0
اه هذا واش عندوا زيادة 😠,0
اذكر الله يامل الحتسه 🙄 👊,0
ابتلشت بالقرد 🐒 😅 القرد عاد نفسه فرد من العائله! 😬,1
اما ساحبه 😡,0
"حب الانتر نت صدق او كذب لا صدق ولا كذب. لعب بالمشاعر فقط. واذا تعلقت في من تحب ""حظرك"". 😂 هنا وقتها تحط موجوع قلبي 👊 👊 💔",0
حيوان هذا 😡,1
كلمه لحظك احتاج غرفة فاضيه فيها.اناوحظيونعال 👠 امردغه امردغه امردغهورجاء لحد يتدخل ✋ 😖 😖 😂 😝 😉,0
الا الحاجه اللي مابتتعوضش 🐸 🐸 كله بيتعوض الا,0
نبغاك تفك النصر من شرك كافي مادهرته بتطبيلك وتضليلك لادارة الجهل السابقة التي حاست النصر واضعفته وانت كنت المضلل الكبير لها! خلاص ياعبدالعزيز كرتك احترق والمفروض تتوارى عن النصر فليس لك قبول من الجميع! 😡,1
انا مقرره اتوب بس ذا طلعني عن طوري 🤢 🔪,0
سعوديه الاصل و المنشا 🤔 ابن مدعج الوايلي ربع مليون 🧔 الاشكال هذي اللي تطلع بالاعلام وتقول انا سعوديه 😔 وللاسف الاعلام السعودي نايم ومكبر الوساده ومخليهم على راحتهم يمثلون الوطن بشكل غير صحيح 👊,0
هالتونسيه تطقطق علينا هالوقت معليش تمون اجل نهار ومساء 🔪.,0
بنت الفراش ومنقهرة وعشان كذا نطيتي في منشني وتقولين انقلعي هالخلا منااك متخلفه 👊,1
قسم بالله ي شبيه الرجال هاذي انهم يتميلحون 👊,1
ماملت عينك القصه 😂 😂 👊,0
مدري ماشفنا الا اصدقاء الهموم والسلف 😅 👎 اصدقا الوناسه وينهم,0
مطرح ما يمشي يمشي 😂 😂 😂 يوم شكله مش معدي 👊 😂,0
هذا فود باطح اقلعوا فينقر لعنة الله عليكم 👊,1
السبب هما الحمدين لاحمد الله لهما وهولاء الاثنين 👎,1
انا بنت 😣 👊,0
-بابا هو انا لو نجحت هتفرح? ده انا هموت م الفرحه.-وانا سقطت عشان مقدرش اعيش من غيرك 🐸,0
ايش قلة الحيا ذي 😷,1
خروفات 😷,1
استغفر الله بنات بدايه شغالين على هالصبح احسب في توينز يناشدون الملك سلمان ولا منجزين شي دامهم في قلوبنا 👊 👊 وبكره يطلعون من ال...,0
الهنديه? 😷,0
واه لعنة اله عليهمم احسبها قفلة الحلقه الاولى تفو عليكم ما افشلكم يارب تفلسون ياارب ماعندكم اي حس فني في الانتاج 🤢 💔 💔,1
صباح الخير لاولئك الذين لم يناموا الا لبضع ساعات واستيقظوا اجتهادا وطلبا للعلم ♥ ️ ولا عزاء للنائمين 👎,0
تعالي خاص وافهمتس بكل شي 🌚 واوريتس بعد 😂 😂 👊,0
ياساتر في الطاقية الله يكرم النعمة 😷 جدتي تقول اللي ما يحضر يودون له قسمهيا انهم فيهم خير زمان الله يرحمهم جميعا,0
